Date,Day,is_Sunday,is_Monday,is_Tuesday,is_Wednesday,is_thrusday,is_Friday,is_Saturday,Liqour,Approx_ml_per_unit,Alcohol_unit,Remark,People_Accompanied,Family_Presence,sober_status
1/1/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/2/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/3/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/4/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
1/5/2014,1,1,0,0,0,0,0,0,Scotch,100,4,Home,0,1,0
1/6/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/7/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/8/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/9/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/10/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/11/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
1/12/2014,1,1,0,0,0,0,0,0,Scotch,60,2.4,Home,0,1,0
1/13/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/14/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/15/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/16/2014,5,0,0,0,0,1,0,0,Beer,330,1.6,Home,0,1,0
1/17/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
1/18/2014,7,0,0,0,0,0,0,1,Vodka,100,3.714285714,Home,0,1,0
1/19/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/20/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/21/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/22/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/23/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/24/2014,6,0,0,0,0,0,1,0,Wine,200,2.628571429,Home,0,1,0
1/25/2014,7,0,0,0,0,0,0,1,Wine,400,5.257142857,Home,0,1,0
1/26/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/27/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/28/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
1/29/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
1/30/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
1/31/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/1/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/2/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/3/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/4/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/5/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/6/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/7/2014,6,0,0,0,0,0,1,0,Wine,500,6.571428571,Party at Vasi's place,1,0,0
2/8/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/9/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/10/2014,2,0,1,0,0,0,0,0,"Tequila, Red Label",200,11,Party at Home,1,0,0
2/11/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/12/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/13/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/14/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/15/2014,7,0,0,0,0,0,0,1,Scotch,200,8,Home,0,1,0
2/16/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/17/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/18/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/19/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/20/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/21/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
2/22/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
2/23/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/24/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/25/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
2/26/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
2/27/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
2/28/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/1/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/2/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/3/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/4/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/5/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/6/2014,5,0,0,0,0,1,0,0,Beer,1320,6.4,Team Dinner,1,0,0
3/7/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/8/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/9/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/10/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/11/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/12/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/13/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
3/14/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/15/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/16/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/17/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/18/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/19/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/20/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
3/21/2014,6,0,0,0,0,0,1,0,Beer,1320,6.4,Gopi B'day Party,1,0,0
3/22/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
3/23/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/24/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/25/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/26/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
3/27/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
3/28/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
3/29/2014,7,0,0,0,0,0,0,1,"Beer -1,Red Label",200,9.6,Home,0,1,0
3/30/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
3/31/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/1/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/2/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
4/3/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
4/4/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
4/5/2014,7,0,0,0,0,0,0,1,Beer,330,1.6,Home,0,1,0
4/6/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/7/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/8/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/9/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
4/10/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
4/11/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
4/12/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
4/13/2014,1,1,0,0,0,0,0,0,Scotch,100,4,Home,0,1,0
4/14/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/15/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/16/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
4/17/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
4/18/2014,6,0,0,0,0,0,1,0,Beer,330,1.6,Germany,1,0,0
4/19/2014,7,0,0,0,0,0,0,1,Beer,330,1.6,Austria,1,0,0
4/20/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/21/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/22/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/23/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
4/24/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
4/25/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
4/26/2014,7,0,0,0,0,0,0,1,Vodka,200,7.428571429,Home,0,1,0
4/27/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/28/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/29/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
4/30/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
5/1/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
5/2/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
5/3/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
5/4/2014,1,1,0,0,0,0,0,0,Scotch,50,2,Home,0,1,0
5/5/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/6/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/7/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
5/8/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
5/9/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
5/10/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
5/11/2014,1,1,0,0,0,0,0,0,Scotch,125,5,Home,0,1,0
5/12/2014,2,0,1,0,0,0,0,0,Scotch,150,6,Flight,1,0,0
5/13/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/14/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
5/15/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
5/16/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
5/17/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
5/18/2014,1,1,0,0,0,0,0,0,Wine,135,1.774285714,Flight,1,0,0
5/19/2014,2,0,1,0,0,0,0,0,Scotch,100,4,Flight,1,0,0
5/20/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/21/2014,4,0,0,0,1,0,0,0,Wine,750,9.857142857,Home,0,1,0
5/22/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
5/23/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
5/24/2014,7,0,0,0,0,0,0,1,Wine,200,2.628571429,Home,0,1,0
5/25/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/26/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/27/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
5/28/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
5/29/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
5/30/2014,6,0,0,0,0,0,1,0,Beer,1320,6.4,Home + Muthu's Place,1,1,0
5/31/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
6/1/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/2/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/3/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/4/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
6/5/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
6/6/2014,6,0,0,0,0,0,1,0,Beer & Wine,2 & 500,8.7,Muthu's Place,1,0,0
6/7/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
6/8/2014,1,1,0,0,0,0,0,0,Beer & Wine,2 & 500,8.7,Muthu's Place,1,0,0
6/9/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/10/2014,3,0,0,1,0,0,0,0,Beer & Vodka,1 + 200,9.028571429,Home,0,1,0
6/11/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
6/12/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
6/13/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
6/14/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
6/15/2014,1,1,0,0,0,0,0,0,Wine & Scotch ,350 + 100,8,Home + Arun,1,1,0
6/16/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/17/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/18/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
6/19/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
6/20/2014,6,0,0,0,0,0,1,0,Wine,400,5.257142857,Home - Babu Birthday,1,1,0
6/21/2014,7,0,0,0,0,0,0,1,Scotch,240,9.6,Arun Home (Whisky),1,0,0
6/22/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/23/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/24/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/25/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
6/26/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
6/27/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
6/28/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
6/29/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
6/30/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/1/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/2/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/3/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
7/4/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
7/5/2014,7,0,0,0,0,0,0,1,Scotch,360,14.4,Arun Home (Rum + Scotch),1,0,0
7/6/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/7/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/8/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/9/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/10/2014,5,0,0,0,0,1,0,0,Scotch,100,4,Home,0,1,0
7/11/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
7/12/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/13/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
7/14/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/15/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/16/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/17/2014,5,0,0,0,0,1,0,0,Beer,990,4.8,Grand Café + Home(1),1,0,0
7/18/2014,6,0,0,0,0,0,1,0,Wine,500,6.571428571,Sidd Home,1,0,0
7/19/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/20/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
7/21/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/22/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/23/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/24/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
7/25/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
7/26/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
7/27/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/28/2014,2,0,1,0,0,0,0,0,Scotch,120,4.8,Home + Gopi + Mates,1,1,0
7/29/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
7/30/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
7/31/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/1/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/2/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/3/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/4/2014,2,0,1,0,0,0,0,0,Scotch,120,4.8,Home - Ananya Birthday,1,1,0
8/5/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/6/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/7/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/8/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/9/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/10/2014,1,1,0,0,0,0,0,0,Scotch,120,4.8,Home,0,1,0
8/11/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/12/2014,3,0,0,1,0,0,0,0,Beer,660,3.2,Home,0,1,0
8/13/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/14/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/15/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/16/2014,7,0,0,0,0,0,0,1,Scotch,150,6,Home with Sithanathan,1,1,0
8/17/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/18/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/19/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/20/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/21/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/22/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/23/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
8/24/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/25/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/26/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
8/27/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
8/28/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
8/29/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
8/30/2014,7,0,0,0,0,0,0,1,Wine + Beer,500,8,Home,0,1,0
8/31/2014,1,1,0,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/1/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/2/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/3/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/4/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/5/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
9/6/2014,7,0,0,0,0,0,0,1,No Liqour,0,0,Home,0,1,1
9/7/2014,1,1,0,0,0,0,0,0,Beer,2,3.2,Home,0,1,0
9/8/2014,2,0,1,0,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/9/2014,3,0,0,1,0,0,0,0,No Liqour,0,0,Home,0,1,1
9/10/2014,4,0,0,0,1,0,0,0,No Liqour,0,0,Home,0,1,1
9/11/2014,5,0,0,0,0,1,0,0,No Liqour,0,0,Home,0,1,1
9/12/2014,6,0,0,0,0,0,1,0,No Liqour,0,0,Home,0,1,1
